"","x"
"1995",3687
"1996",3688
"1997",3689
"1998",3690
"1999",3691
"2000",3692
"2001",3693
"2002",3694
"2003",3695
"2004",3696
"2005",3697
"2006",3698
"2007",3699
"2008",3700
"2009",3701
"2010",3702
"2011",3703
"2012",3704
"2013",3705
"2014",3706
"2015",3707
"2016",3708
"2017",3709
"2018",3710
"2019",3711
"2020",3712
"2021",3713
"2022",3714
"2023",3715
"2024",3716
"2025",3717
"2026",3718
"2027",3719
"2028",3720
"2029",3721
"2030",3722
"2031",3723
"2032",3724
"2033",3725
"2034",3726
"2035",3727
"2036",3728
"2037",3729
"2038",3730
"2039",3731
"2040",3732
"2041",3733
"2042",3734
"2043",3735
"2044",3736
"2045",3737
"2046",3738
"2047",3739
"2048",3740
"2049",3741
"2050",3742
"2051",3743
"2052",3744
"2053",3745
"2054",3746
"2055",3747
"2056",3748
"2057",3749
"2058",3750
"2059",3751
"2060",3752
"2061",3753
"2062",3754
"2063",3755
"2064",3756
"2065",3757
"2066",3758
"2067",3759
"2068",3760
"2069",3761
"2070",3762
"2071",3763
"2072",3764
"2073",3765
"2074",3766
"2075",3767
"2076",3768
"2077",3769
"2078",3770
"2079",3771
"2080",3772
"2081",3773
"2082",3774
"2083",3775
"2084",3776
"2085",3777
"2086",3778
"2087",3779
"2088",3780
"2089",3781
"2090",3782
"2091",3783
"2092",3784
"2093",3785
"2094",3786
"2095",3787
"2096",3788
"2097",3789
"2098",3790
"2099",3791
"2100",3792
"2101",3793
"2102",3794
"2103",3795
"2104",3796
"2105",3797
"2106",3798
"2107",3799
"2108",3800
"2109",3801
"2110",3802
"2111",3803
"2112",3804
"2113",3805
"2114",3806
"2115",3807
"2116",3808
"2117",3809
"2118",3810
"2119",3811
"2120",3812
"2121",3813
"2122",3814
"2123",3815
"2124",3816
"2125",3817
"2126",3818
"2127",3819
"2128",3820
"2129",3821
"2130",3822
"2131",3823
"2132",3824
"2133",3825
"2134",3826
"2135",3827
"2136",3828
"2137",3829
"2138",3830
"2139",3831
"2140",3832
"2141",3833
"2142",3834
"2143",3835
"2144",3836
"2145",3837
"2146",3838
"2147",3839
"2148",3840
"2149",3841
"2150",3842
"2151",3843
"2152",3844
"2153",3845
"2154",3846
"2155",3847
"2156",3848
"2157",3849
"2158",3850
"2159",3851
"2160",3852
"2161",3853
"2162",3854
"2163",3855
"2164",3856
"2165",3857
"2166",3858
"2167",3859
